centro_titularidad,centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion,centro_titular,contacto_email1,contacto_fax,contacto_telefono1,contacto_telefono2,contacto_telefono3,contacto_telefono4,contacto_web,dat_codigo,dat_nombre,direccion_codigo_postal,direccion_coor_x,direccion_coor_y,direccion_numero,direccion_via_nombre,direccion_via_tipo,distrito_codigo,distrito_nombre,municipio_codigo,municipio_nombre,promedio_x,promedio_y,distancia
PRIVADO CONCERTADO,28000327,SANTA MARIA DE LA PROVIDENCIA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION EDUCACION Y EVANGELIO,cc.smdelaprovidencia.alcala@educa.madrid.org,918813167,918819409,"","","",http://www.smprovidencia-alcala.es,3,Madrid-Este,28807,469022,4482033,4,Huertas,CALLE,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,29780.498610853665
PÚBLICO,28000364,COMPLUTENSE,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.complutense.alcala@educa.madrid.org,918828091,918880169,"","","",http://www.educa.madrid.org/ies.complutense.alcala,3,Madrid-Este,28804,470510,4481599,1,Valladolid,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,31175.852307783127
PÚBLICO,28000376,NUESTRA SEÑORA DEL VAL,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.val.alcala@educa.madrid.org,918894578,918893702,"","","",http://www.educa.madrid.org/cp.val.alcala,3,Madrid-Este,28804,470873,4481791,s/n,Ávila,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,31573.26952723205
PÚBLICO,28000388,DOCTORA DE ALCALA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.doctora.alcala@educa.madrid.org,918833055,918883764,"","","",http://www.educa.madrid.org/cp.doctora.alcala,3,Madrid-Este,28805,469522,4482291,11,de Pedro Sarmiento de Gamboa,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,30385.226871181556
PRIVADO CONCERTADO,28000406,SAN GABRIEL,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PADRES PASIONISTAS,cc.sangabriel.alcala@educa.madrid.org,918871277,918890650,"","","",http://www.educa.madrid.org/cc.sangabriel.alcala,3,Madrid-Este,28800,467137,4483263,"k 2,5",Daganzo,CTRA,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,28329.63743338063
PRIVADO CONCERTADO,28000421,SAN IGNACIO DE LOYOLA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",COLEGIO DE SAN IGNACIO COMPAÑIA DE JESUS (JESUITAS),cc.sanignaciodeloyola.alcala@educa.madrid.org,918832815,918871114,918881400,"","",http://www.sanignacioalcala.es,3,Madrid-Este,28806,469041,4482916,3,Concepción Arenal,CALLE,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,30040.285239466408
PRIVADO CONCERTADO,28000431,MINERVA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",COLEGIOS MINERVA S.L.,cc.minerva.alcala@educa.madrid.org,918881362,918881362,918835635,"","",http://www.educa.madrid.org/cc.minerva.alcala,3,Madrid-Este,28804,469753,4481732,1,Batalla de Lepanto,CALLE,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,30411.955383347464
PÚBLICO,28000467,ALONSO DE AVELLANEDA,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.alonsodeavellan.alcala@educa.madrid.org,918883402,918881174,"","","",http://www.educa.madrid.org/ies.alonsodeavellan.alcala,3,Madrid-Este,28804,471046,4482286,3,Vitoria,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,31859.219562706185
PRIVADO CONCERTADO,28000479,CALASANZ,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION ESCOLAPIAS MONTAL,cc.calasanz.alcala@educa.madrid.org,918771836,918892900,"","","",http://www.calasanzalcala.com,3,Madrid-Este,28801,468941,4481493,29,Santiago,CALLE,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,29566.180192203825
PRIVADO CONCERTADO,28000492,LOPE DE VEGA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","PROLOVE, S.A.",cc.lopedevega.alcala@educa.madrid.org,918892021,918893879,"","","",http://www.colegiolopedevega.com,3,Madrid-Este,28805,469744,4482228,12,de Luis de Medina,CALLE,"","",005,Alcalá de Henares,440264.7489361702,4474293.580851064,30528.36796350752
PÚBLICO,28000522,ANTONIO MACHADO,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.machado.alcala@educa.madrid.org,918883916,918892450,"","","",http://www.educa.madrid.org/ies.machado.alcala,3,Madrid-Este,28806,468665,4482393,s/n,Alalpardo,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,29584.944838749212
PÚBLICO,28000558,INFANTA CATALINA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.infantacatalina.alcala@educa.madrid.org,918836953,918886145,"","","",http://www.educa.madrid.org/cp.infantacatalina.alcala,3,Madrid-Este,28803,468204,4480481,4,San Vidal,CALLE,"","",005,Alcalá de Henares,440157.3842874543,4474481.943970768,28681.027285804852
PÚBLICO,28000595,FEDERICO GARCIA LORCA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.garcialorca.alcobendas@educa.madrid.org,916624084,916624593,916624089,"","",http://www.educa.madrid.org/cp.garcialorca.alcobendas,1,Madrid-Norte,28100,445032,4488554,91,del Marqués de la Valdavia,CALLE,"","",006,Alcobendas,440157.3842874543,4474481.943970768,14892.435638096551
PÚBLICO,28000601,ANTONIO MACHADO,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.machado.alcobendas@educa.madrid.org,916639504,916526807,916512538,"","",http://www.educa.madrid.org/cp.machado.alcobendas,1,Madrid-Norte,28100,445886,4488631,59,de Miraflores,CALLE,"","",006,Alcobendas,440157.3842874543,4474481.943970768,15264.757597170616
PRIVADO CONCERTADO,28000625,SAN PEDRO APOSTOL,008,EIPR,ESCUELA INFANTIL PRIVADA,PARROQUIA DE SAN PEDRO APOSTOL,cc.sanpedroapostol.alcobendas@educa.madrid.org,916535721,916535721,656440108,"","","",1,Madrid-Norte,28100,446447,4488013,1,de Felipe Álvarez Gadea,PLAZA,"","",006,Alcobendas,440264.7489361702,4474293.580851064,15048.012825632988
PRIVADO CONCERTADO,28000649,SAN ANTONIO,013,CPR PRI,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA,"COLEGIO CONCERTADO SAN ANTONIO, S.L.",cc.sanantonio.alcobendas@educa.madrid.org,916527169,916527169,"","","",http://www.educa.madrid.org/cc.sanantonio.alcobendas,1,Madrid-Norte,28100,446743,4488144,13,de Barcelona,CALLE,"","",006,Alcobendas,440264.7489361702,4474293.580851064,15290.580350242542
PRIVADO CONCERTADO,28000662,JUAN XXIII,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","EDUCACHACON, S.L.",cc.juanxxiii.alcobendas@educa.madrid.org,916516468,916516468,647786608,"","",http://www.juanxxiiialcobendas.com,1,Madrid-Norte,28100,446082,4488087,3,Juan M. Sánchez. Pedagogo,TRVA,"","",006,Alcobendas,440264.7489361702,4474293.580851064,14969.930586273995
PRIVADO,28000698,LICEO EUROPEO,073,CPR PRI-SEC,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,"LICEO EUROPEO, S.L.",patricia.real@liceo-europeo.edu.es,916500000,916500000,916500000,916500000,916500000,http://www.liceo-europeo.es,1,Madrid-Norte,28109,445505,4484772,10-12,del Camino Sur,CALLE,"","",006,Alcobendas,439602.9362934363,4476838.754826255,9887.908524206867
PÚBLICO,28000753,FRANCISCO GINER DE LOS RIOS,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.ginerdelosrios.alcobendas@educa.madrid.org,916511164,916525466,"","","",http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,1,Madrid-Norte,28108,447429,4487172,11,de la Transición Española,AVDA,"","",006,Alcobendas,440157.3842874543,4474481.943970768,14625.796289296335
PÚBLICO,28000765,DAOIZ Y VELARDE,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.daoizyvelarde.alcobendas@educa.madrid.org,916613142,916616095,"","","",http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas,1,Madrid-Norte,28108,443977,4488551,92,de Valdelaparra,AVDA,"","",006,Alcobendas,440157.3842874543,4474481.943970768,14578.333297918572
PRIVADO,28000777,BIENAVENTURADA VIRGEN MARIA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",INSTITUTO  BIENAVENTURADA VIRGEN MARIA,secretaria@irlandesaselsoto.net,"",916501500,"","","",http://www.irlandesaselsoto.net/,1,Madrid-Norte,28109,445727,4486106,275,de Begonia,CALLE,"","",006,Alcobendas,439602.9362934363,4476838.754826255,11107.924621293952
PRIVADO,28000820,COLEGIO SUIZO DE MADRID (SUIZO),094,CEXTRAN ESP,CENTRO DOCENTE EXTRANJERO EN ESPAÑA,ASOCIACION DEL COLEGIO SUIZO DE MADRID,"","",916505818,"","","","",1,Madrid-Norte,28100,444586,4485638,k. 14,BURGOS,CTRA,"","",006,Alcobendas,439602.9362934363,4476838.754826255,10112.251951536058
PÚBLICO,28000856,CARMEN CONDE,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.carmenconde.alcorcon@educa.madrid.org,916440016,916448242,"","","",http://www.educa.madrid.org/cp.carmenconde.alcorcon,2,Madrid-Sur,28922,429272,4466006,2,del Oeste,AVDA,"","",007,Alcorcón,440157.3842874543,4474481.943970768,13796.130518415364
PRIVADO CONCERTADO,28000901,NUESTRA SEÑORA DE RIHONDO,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","COLEGIO RIHONDO, S.L.",cc.nsrihondo.alcorcon@educa.madrid.org,"",916442053,629924429,"","",http://www.rihondo.es,2,Madrid-Sur,28922,428975,4466342,2,de Pablo Iglesias,AVDA,"","",007,Alcorcón,440264.7489361702,4474293.580851064,13808.91266801136
PRIVADO CONCERTADO,28000947,SANTISIMA TRINIDAD,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION EDUCATIVA SANTISIMA TRINIDAD,cc.santisimatrinidad.alcorcon@educa.madrid.org,916103443,916191823,"","","",http://www.alcorcon.colegiostrinitarios.com,2,Madrid-Sur,28925,430991,4467463,2,de Ribadavia,CALLE,"","",007,Alcorcón,440264.7489361702,4474293.580851064,11517.77991168614
PRIVADO CONCERTADO,28000960,NUESTRA SEÑORA DE LOS REMEDIOS,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","COLEGIO NUESTRA SEÑORA DE LOS REMEDIOS, SOC. COOP. MADRILEÑA",cc.nsdelosremedios.alcorcon@educa.madrid.org,916194981,916194981,"","","",http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon,2,Madrid-Sur,28921,429201,4466399,17,de los Guindales,CALLE,"","",007,Alcorcón,440264.7489361702,4474293.580851064,13591.576337444983
PRIVADO CONCERTADO,28001010,AMOR DE DIOS,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS,cc.amordedios.alcorcon@educa.madrid.org,916118527,916192117,"","","",http://www.educa.madrid.org/cc.amordedios.alcorcon,2,Madrid-Sur,28924,430735,4467059,1,Santiago de Compostela,PLAZA,"","",007,Alcorcón,440264.7489361702,4474293.580851064,11964.751350405058
PRIVADO CONCERTADO,28001022,LA INMACULADA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",MISIONERAS SECULARES DE JESUS OBRERO,cc.lainmaculada.alcorcon@educa.madrid.org,916113356,916192515,"","","",http://www.lainmaculada.net,2,Madrid-Sur,28924,431067,4466962,s/n,Señorita Elena,CALLE,"","",007,Alcorcón,440264.7489361702,4474293.580851064,11762.255874980321
PRIVADO CONCERTADO,28001034,VIRGEN DEL REMEDIO,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",MADRES TRINITARIAS,cc.virgendelremedio.alcorcon@educa.madrid.org,916112507,916195917,"","","",http://www.colegiotrinitarias.com,2,Madrid-Sur,28924,430148,4467116,2,de Lisboa,AVDA,"","",007,Alcorcón,440264.7489361702,4474293.580851064,12404.284578768023
PRIVADO CONCERTADO,28001046,CENTRO EDUCATIVO VILLA DE ALCORCON,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",JUAN XXIII DE ENSEÑANZA S.L.,cc.villadealcorcon.alcorcon@educa.madrid.org,916448058,916438329,916106371,"","",http://www.villadealcorcon.com,2,Madrid-Sur,28921,429720,4466865,12,de Madrid,CALLE,"","",007,Alcorcón,440264.7489361702,4474293.580851064,12898.664411002326
PÚBLICO,28001137,DANIEL MARTIN,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.danielmartin.alcorcon@educa.madrid.org,916101196,916108191,"","","",http://www.educa.madrid.org/portal/web/danielmartin,2,Madrid-Sur,28923,430417,4466548,45,del Alcalde José Aranda,AVDA,"","",007,Alcorcón,440157.3842874543,4474481.943970768,12562.744644327096
PÚBLICO,28001149,PARROCO D. VICTORIANO,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.donvictoriano.alcorcon@educa.madrid.org,916118052,916117131,916190793,916117161,"",http://www.educa.madrid.org/cp.donvictoriano.alcorcon,2,Madrid-Sur,28923,430394,4466314,2,de la Olímpica Conchita Puig,CALLE,"","",007,Alcorcón,440157.3842874543,4474481.943970768,12729.453305390272
PRIVADO,28001231,SAN PABLO-CEU,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION UNIVERSITARIA SAN PABLO CEU,info.csp.monteprincipe@ceu.es,917154939,913520523,913726456,913726463,"",www.colegioceumonteprincipe.es,4,Madrid-Oeste,28668,428858,4472491,"",de Montepríncipe,AVDA,"","",022,Boadilla del Monte,439602.9362934363,4476838.754826255,11591.23064990206
PÚBLICO,28001241,NUESTRA SEÑORA DE FATIMA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.fatima.aldeadelfresno@educa.madrid.org,918637603,918637177,"","","",http://www.educa.madrid.org/cp.fatima.aldeadelfresno,2,Madrid-Sur,28620,398068,4464438,22,Navayuncosa,CALLE,"","",008,Aldea del Fresno,440157.3842874543,4474481.943970768,43271.20382176728
PÚBLICO,28001277,OBISPO MOSCOSO,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.obispomoscoso.algete@educa.madrid.org,916280730,916290464,"","","",http://www.educa.madrid.org/cp.obispomoscoso.algete,1,Madrid-Norte,28110,457953,4494426,18,del Retamar,CALLE,"","",009,Algete,440157.3842874543,4474481.943970768,26729.184601961904
PÚBLICO,28001289,SANTA QUITERIA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.santaquiteria.alpedrete@educa.madrid.org,918571221,918572391,918579119,"","",http://www.educa.madrid.org/cp.santaquiteria.alpedrete,4,Madrid-Oeste,28439,413796,4500973,45,de Santa Quiteria,CALLE,"","",010,Alpedrete,440157.3842874543,4474481.943970768,37372.43143140092
PÚBLICO,28001371,SAN JOSE DE CALASANZ,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.sanjosedecalasanz.aranjuez@educa.madrid.org,918922229,918910771,"","","",http://www.educa.madrid.org/cp.sanjosedecalasanz.aranjuez,2,Madrid-Sur,28300,449000,4430989,32,de la Plaza de Toros,AVDA,"","",013,Aranjuez,440157.3842874543,4474481.943970768,44382.744708772865
PRIVADO,28001435,VIRGEN DEL PUERTO,004,CPR INF,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,"COLEGIO VIRGEN DEL PUERTO, S.L.",vdp@colegiovirgendelpuerto.com,"",918910717,"","","","",2,Madrid-Sur,28300,448509,4430808,16,de Carretas,CALLE,"","",013,Aranjuez,439602.9362934363,4476838.754826255,46884.41490111808
PRIVADO CONCERTADO,28001514,SAGRADA FAMILIA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION EDUCATIVA SANTO DOMINGO,cc.sagradafamilia.aranjuez@educa.madrid.org,918923648,918910419,"","","",http://www.aranjuez.fesd.es,2,Madrid-Sur,28300,448554,4431962,15,del Príncipe,CALLE,"","",013,Aranjuez,440264.7489361702,4474293.580851064,43135.535473080396
PRIVADO CONCERTADO,28001538,SAN PASCUAL,015,CPR INF-PRI,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,"COLEGIO SAN PASCUAL, SDAD. COOP. MADRILEÑA",cc.sanpascual.aranjuez@educa.madrid.org,"",918911917,616583604,"","",http://www.colegiosanpascual.es,2,Madrid-Sur,28300,448770,4431182,77-79,del Rey,CALLE,"","",013,Aranjuez,440264.7489361702,4474293.580851064,43942.54998445825
PÚBLICO,28001551,VICENTE ALEIXANDRE,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.vicentealeixandre.aranjuez@educa.madrid.org,918920571,918912625,"","","",http://www.educa.madrid.org/cp.vicentealeixandre.aranjuez,2,Madrid-Sur,28300,448855,4431855,38,del Príncipe,CALLE,"","",013,Aranjuez,440157.3842874543,4474481.943970768,43505.228092381
PRIVADO CONCERTADO,28001563,APOSTOL SANTIAGO,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PADRES SOMASCOS,cc.apostolsantiago.aranjuez@educa.madrid.org,918921009,918921200,"","","",http://www.educa.madrid.org/cc.apostolsantiago.aranjuez,2,Madrid-Sur,28300,449686,4431847,217,de las Moreras,CALLE,"","",013,Aranjuez,440264.7489361702,4474293.580851064,43479.56068721984
PRIVADO,28001587,ARCO IRIS ABASTOS,008,EIPR,ESCUELA INFANTIL PRIVADA,"ESCUELA INFANTIL ARCO IRIS ABASTOS, S.L.",escuelainfantil.arcoiris.abastos@hotmail.com,"",918911553,"","","","",2,Madrid-Sur,28300,449282,4431397,157,de Abastos,CALLE,"","",013,Aranjuez,439602.9362934363,4476838.754826255,46461.13812559052
PRIVADO CONCERTADO,28001605,LOYOLA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CONGREGACION SALESIANA,cc.loyola.aranjuez@educa.madrid.org,918923768,918910505,"","","",http://www.salesianosloyola.es,2,Madrid-Sur,28300,447999,4431042,24,de Valeras,CALLE,"","",013,Aranjuez,440264.7489361702,4474293.580851064,43937.659082323495
PÚBLICO,28001617,SAN ISIDRO,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.sanisidro.aranjuez@educa.madrid.org,918090214,918911299,619785919,"","",http://www.educa.madrid.org/cp.sanisidro.aranjuez,2,Madrid-Sur,28300,449488,4431557,51,de los Cuarteles,CALLE,"","",013,Aranjuez,440157.3842874543,4474481.943970768,43927.340056834284
PÚBLICO,28001629,DOMENICO SCARLATTI,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.domenicoscarlat.aranjuez@educa.madrid.org,918923723,918910057,918911298,"","",http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,2,Madrid-Sur,28300,448012,4431221,22,de Valeras,CALLE,"","",013,Aranjuez,440157.3842874543,4474481.943970768,43968.218763485056
PÚBLICO,28001642,PRINCIPE DE ASTURIAS,020,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,COMUNIDAD DE MADRID,cpee.principedeasturias.aranjuez@educa.madrid.org,918915378,918915378,"","","",http://www.educa.madrid.org/cpee.principedeasturias.aranjuez,2,Madrid-Sur,28300,447882,4431228,11,Zorzales,CALLE,"","",013,Aranjuez,440157.3842874543,4474481.943970768,43938.29032783167
PÚBLICO,28001678,JORGE MANRIQUE,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.jorgemanrique.trescantos@educa.madrid.org,918046515,918040964,"","","",http://www.educa.madrid.org/ies.jorgemanrique.trescantos,1,Madrid-Norte,28760,440399,4493685,2,del Mar Adriático,CALLE,"","",903,Tres Cantos,440157.3842874543,4474481.943970768,19204.575991528185
PÚBLICO,28001681,NUESTRA SEÑORA DE LA MILAGROSA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.milagrosa.arganda@educa.madrid.org,918700900,918710205,"","","",http://www.educa.madrid.org/cp.milagrosa.arganda,3,Madrid-Este,28500,462127,4461186,2,Leonor de Cortinas,CALLE,"","",014,Arganda del Rey,440157.3842874543,4474481.943970768,25679.683421544178
